iter	Passed	Remaining
439	1329	1692
440	1332	1688
441	1335	1685
442	1338	1682
443	1341	1679
444	1344	1677
445	1347	1673
446	1350	1670
447	1352	1666
448	1356	1664
449	1359	1661
450	1362	1658
451	1365	1655
452	1368	1653
453	1371	1649
454	1375	1647
455	1377	1643
456	1380	1640
457	1384	1637
458	1387	1634
459	1390	1631
460	1393	1628
461	1396	1625
462	1398	1622
463	1401	1619
464	1405	1616
465	1408	1613
466	1411	1610
467	1414	1608
468	1417	1604
469	1420	1601
470	1423	1598
471	1427	1596
472	1430	1593
473	1433	1590
474	1435	1587
475	1439	1584
476	1442	1581
477	1445	1578
478	1447	1574
479	1451	1572
480	1454	1569
481	1457	1565
482	1459	1562
483	1463	1559
484	1466	1556
485	1469	1554
486	1472	1551
487	1475	1548
488	1479	1545
489	1481	1542
490	1484	1539
491	1488	1536
492	1491	1533
493	1494	1530
494	1497	1527
495	1500	1524
496	1503	1521
497	1506	1519
498	1510	1516
499	1513	1513
500	1516	1509
501	1518	1506
502	1521	1503
503	1524	1500
504	1527	1497
505	1530	1494
506	1533	1490
507	1537	1488
508	1540	1486
509	1543	1482
510	1546	1480
511	1549	1476
512	1552	1474
513	1555	1470
514	1558	1467
515	1561	1464
516	1564	1461
517	1568	1459
518	1572	1457
519	1574	1453
520	1578	1450
521	1581	1447
522	1584	1445
523	1587	1442
524	1590	1439
525	1594	1436
526	1597	1434
527	1600	1430
528	1603	1427
529	1606	1424
530	1609	1421
531	1612	1418
532	1615	1415
533	1618	1412
534	1621	1409
535	1624	1406
536	1627	1403
537	1630	1399
538	1633	1396
539	1636	1394
540	1639	1391
541	1642	1387
542	1645	1384
543	1648	1381
544	1650	1378
545	1653	1374
546	1655	1371
547	1659	1368
548	1662	1365
549	1664	1362
550	1667	1359
551	1670	1356
552	1674	1353
553	1677	1350
554	1679	1347
555	1682	1343
556	1685	1340
557	1688	1337
558	1691	1334
559	1693	1330
560	1696	1327
561	1699	1324
562	1702	1321
563	1705	1318
564	1708	1315
565	1710	1311
566	1714	1308
567	1716	1305
568	1720	1302
569	1722	1299
570	1725	1296
571	1728	1293
572	1731	1290
573	1734	1287
574	1737	1284
575	1740	1281
576	1743	1278
577	1746	1275
578	1749	1272
579	1753	1269
580	1755	1266
581	1758	1263
582	1761	1260
583	1764	1256
584	1767	1253
585	1769	1250
586	1772	1247
587	1775	1244
588	1778	1240
589	1781	1237
590	1783	1234
591	1786	1231
592	1789	1228
593	1792	1225
594	1794	1221
595	1797	1218
